AED모델명,우편번호(앞자리),우편번호(뒤자리),관리책임자명,관리자연락처,설치기관주소,설치기관전화번호,설치위치,제조사,설치기관명,경도,위도
HR-501,26,16,김원식,010-3766-7792,서울특별시 동대문구 답십리로56길 105 (답십리동 답십리 파크자이),02-6949-5236,관리사무실 내,(주)라디안큐바이오,답십리파크자이 아파트,127.0584569,37.56779014
HR-501,24,34,조용호,010-9650-2350,서울특별시 동대문구 휘경로 60 (휘경동 휘경SK VIEW 아파트),02-2245-5800,후문경비초소,라디안,휘경SK뷰아파트,127.0654452,37.59407657
AED Plus,25,13,백남규,02-2217-6340,서울특별시 동대문구 장안벚꽃로5길 19 (휘경동 휘경베스트빌현대아파트),02-2217-6340,정문 경비실,졸메디컬,휘경베스트빌현대아파트,127.0741592,37.5820674
HR501,24,90,정영선,010-3669-0945,서울특별시 동대문구 왕산로 225 미주상가 A동 (청량리동),010-3669-0945,미주상가A동 3초소 경비실,(주)라디안큐바이오,미주상가A동,127.0472091,37.5821227
NT-381.C,26,22,김경진,2244-3285,서울특별시 동대문구 고미술로 93 답십리1 치안센터 (답십리동),2244-3285,출입문 옆,나눔테크,답십리1 치안센터,127.0568126,37.56466395
NT-381.C,26,1,김경진,2245-4147,서울특별시 동대문구 사가정로2길 9 답십리1동 지구대 (답십리동),02-961-4301,출입문 옆,나눔테크,답십리지구대,127.0510676,37.5712943
NT-381.C,26,16,김경진,2244-3716,서울특별시 동대문구 한천로11길 30 답십리2 치안센터 (답십리동),02-2244-3716,출입문옆,나눔테크,답십리2 치안센터,127.060662,37.56724681
NT-381C,24,6,유주현,3295-1087,서울특별시 동대문구 이문로 196 이문2 치안센터 (이문동),02-3295-1087,1층 센터내 입구,나눔테크,이문2 치안센터,127.0622711,37.60401883
NT-381.C,24,23,유주현,961-8738,서울특별시 동대문구 한천로 402 이문지구대 (이문동),02-961-4083,1층 사무실내,나눔테크,이문지구대,127.0681153,37.59648386
NT-381.C,26,41,박종혁,2213-5394,서울특별시 동대문구 장한로18길 78 장안3 치안센터 (장안동),22135394,출입문 오른쪽 책상옆,나눔테크,장안3 치안센터,127.0732951,37.56785169
NT-381.C,26,32,박종혁,2245-8439,서울특별시 동대문구 한천로10길 4 남장안치안센터 (장안동),02-2245-8439,출입문 왼쪽 냉장고옆,나눔테크,남장안 치안센터,127.0614573,37.56548747
NT-381.C,26,26,박종혁,2243-1662,서울특별시 동대문구 한천로20길 9 장안1파출소 (장안동),02-961-4043,출입문 우측,나눔테크,장안1파출소,127.0650047,37.5696343
NT-381.C,24,92,김태헌,2212-7058,서울특별시 동대문구 전농로38다길 21 전농2파출소 (전농동),02-961-4306,1층 문서실 옆,나눔테크,전농2파출소,127.0542292,37.58637309
NT-381.C,25,49,김태헌,2212-9525,서울특별시 동대문구 서울시립대로14길 31 전농4치안센터 (전농동),02-2212-9525,1층 소내 입구좌측,나눔테크,전농4 치안센터,127.052389,37.57921292
NT-381.C,24,86,송재선,959-2331,서울특별시 동대문구 약령시로21길 15 청량리파출소 (청량리동),9592331,1층 현관입구,나눔테크,청량리파출소,127.0452724,37.58410673
NT-381.C,24,86,박대웅,010-9974-7161,서울특별시 동대문구 약령시로21길 29 동대문경찰서 (청량리동),02-961-4353,동대문방순대 중앙복도,나눔테크,동대문경찰서방범순찰대,127.0457943,37.58515762
NT-381.C,25,11,김나림,968-2304,서울특별시 동대문구 한천로 266 휘경동파출소 (휘경동),961-4088,1층 사무실내,나눔테크,휘경파출소,127.0680238,37.58467452
NT-381.C,24,59,박상용,010-2763-4874,서울특별시 동대문구 회기로18길 2 회기파출소 (회기동),02-961-4311,1층 사무실내,나눔테크,회기파출소,127.0518493,37.59108473
NT-381.C,25,51,최병석,959-1454,서울특별시 동대문구 서울시립대로 56 전농1파출소 (전농동),02-961-4033,1층 출입문 옆,나눔테크,전농1파출소,127.0479381,37.57612945
