"AED모델명","우편번호(앞자리)","우편번호(뒤자리)","관리책임자명","관리자연락처","설치기관주소","설치기관전화번호","설치위치","제조사","설치기관명","경도","위도"
"Zoll AED Plus","056","98","홍희정","02-407-1988","서울특별시 송파구 송파대로 345 (가락동 헬리오시티)","02-407-1988","1층 복도 중앙현관","졸메디컬","서울해누리초등학교","127.1025082185","37.4986434487"
"HeartPlus NT-180","057","06","정은주","401-4677","서울특별시 송파구 송이로 75","401-7627","중앙현관 교장실앞 복도","나눔테크","신가초등학교","127.1198778175","37.5003627970"
"HeartPlus NT-180","055","55","김정현","2203-6412","서울특별시 송파구 석촌호수로 81","22036412","현관옆","나눔테크","버들초등학교","127.0889991963","37.5102350178"
"HeartPlus NT-180","058","11","조은혜","070-4014-4829","서울특별시 송파구 충민로 115","07040144829","후문입구","나눔테크","문현고등학교","127.1287633993","37.4813139081"
"AED Plus","052","75","김성희","02-428-9088","서울특별시 강동구 구천면로93길 20 서울고일초등학교 (상일동)","02-428-9088","본관 2층 복도(엘레버이터 앞)","ZOLL Medical","서울고일초등학교","127.1694101439","37.5515426236"
"heartkeeper","075","99","양정근","02-2662-2603","서울특별시 강서구 마곡중앙3로 74 .","02-2662-2603","헬스장","나눔테크","마곡힐스테이트아파트","126.8184339904","37.5646953177"
"NT-280","014","22","정승환","010-8121-2175","서울특별시 도봉구 노해로66길 29","02-999-5058","117 경비실","나눔테크","창동삼성아파트","127.0492798534","37.6476211032"
"NT-280","014","22","정승환","010-8121-2175","서울특별시 도봉구 노해로66길 29","02-999-5058","110 경비실","나눔테크","창동삼성아파트","127.0489749021","37.6491348822"
"ZOLL AED Plus","027","55","노태문","010-8221-6089","서울특별시 성북구 장위로21다길 53 (장위동)","6954-9393","1층 로비","ZOLL Medical Corporation","장위행복누림복지센터","127.0458360401","37.6158906694"
"NT-280","014","22","정승환","010-8121-2175","서울특별시 도봉구 노해로66길 29","02-999-5058","116 경비실","나눔테크","창동삼성아파트","127.0494726827","37.6479183471"
"NT-280","014","22","정승환","010-8121-2175","서울특별시 도봉구 노해로66길 29","02-999-5058","106 경비실","나눔테크","창동삼성아파트","127.0480009411","37.6499912166"
"ZOLL AED Plus","027","55","노태문","010-8221-6089","서울특별시 성북구 장위로21다길 53 (장위동)","6954-9393","2층 도서관 내","ZOLL Medical Corporation","장위행복누림복지센터","127.0458360401","37.6158906694"
"Zoll AED Plus","055","27","황경선","02-2147-2004","서울특별시 송파구 풍성로 28 대산빌딩 (풍납동)","02-2147-2013","1층 회의실","졸메디컬","도란도란백제쉼터","127.1155310647","37.5346135303"
"NT-280","014","22","정승환","010-8121-2175","서울특별시 도봉구 노해로66길 29","02-999-5058","114 경비실","나눔테크","창동삼성아파트","127.0489856596","37.6482609240"
"Zoll AED PLUS","056","44","김도선","02-2147-2013","서울특별시 송파구 오금로 219 방이백제고분 (방이동)","02-2147-2013","관리사무소 내부","Zoll Medicla Corp.","방이동고분군","127.1181634257","37.5075731051"
"Zoll AED PLUS","056","82","황경선","02-2147-2013","서울특별시 송파구 가락로7길 21 백제초기적석총 (석촌동)","02-2147-2013","관리사무소 내부","Zoll Medical Corp.","석촌동고분군","127.1028149589","37.5021417872"
"powerheart G5A","072","60","문안나","010-8954-7696","서울특별시 영등포구 당산로 123 영등포구보건소","02-2670-4816","특수구급차 내","카디악 사이언스","영등포구보건소","126.8955080948","37.5263228008"
"Hearton A15-G4","130","874","윤지혜","070-8630-9882","서울특별시 동대문구 겸재로 21 (휘경동) 보건교육실 앞","02-2216-3643","보건실 옆","메디아나","휘경공업고등학교","127.0697282765","37.5852215951"
"NT-280","014","22","정승환","010-8121-2175","서울특별시 도봉구 노해로66길 29","02-999-5058","101 경비실","나눔테크","창동삼성아파트","127.0471289838","37.6509105708"
"HR-501","041","05","남정열","02-3275-1905","서울특별시 마포구 대흥로 175 (대흥동 신촌그랑자이)","02-496-4466","경비실(103동 로비층)","(주)라디안큐바이오","신촌그랑자이 아파트","126.9434449749","37.5557951098"
"HeartPlus NT-180","088","45","안홍섭","875-7446","서울특별시 관악구 신림로29길 8","875-7446","경로당","(주)나눔테크","신림현대아파트","126.9328104643","37.4755696757"
"HR-501","041","05","남정열","02-3275-1905","서울특별시 마포구 대흥로 175 (대흥동 신촌그랑자이)","02-496-4466","자이안센터 건강관리실(105동 로비층)","(주)라디안큐바이오","신촌그랑자이 아파트","126.9434449749","37.5557951098"
"HR-501","041","05","남정열","02-3275-1905","서울특별시 마포구 대흥로 175 (대흥동 신촌그랑자이)","02-496-4466","경비실(106동 옆)","(주)라디안큐바이오","신촌그랑자이 아파트","126.9434449749","37.5557951098"
"HR-501","041","05","남정열","02-3275-1905","서울특별시 마포구 대흥로 175 (대흥동 신촌그랑자이)","02-496-4466","109동 12라인 로비","(주)라디안큐바이오","신촌그랑자이 아파트","126.9434449749","37.5557951098"
"HR-501","041","05","남정열","02-3275-1905","서울특별시 마포구 대흥로 175 (대흥동 신촌그랑자이)","02-496-4466","111동 45라인 로비","(주)라디안큐바이오","신촌그랑자이 아파트","126.9434449749","37.5557951098"
"HR-501","041","05","남정열","02-3275-1905","서울특별시 마포구 대흥로 175 (대흥동 신촌그랑자이)","02-496-4466","경비실(201동 지하층)","(주)라디안큐바이오","신촌그랑자이 아파트","126.9434449749","37.5557951098"
"HR-501","041","05","남정열","02-3275-1905","서울특별시 마포구 대흥로 175 (대흥동 신촌그랑자이)","02-496-4466","노인정(204동 로비층)","(주)라디안큐바이오","신촌그랑자이 아파트","126.9434449749","37.5557951098"
"Heartstart HS1","074","17","조성윤","829-7777","서울특별시 영등포구 도림로 156 명지성모병원 (대림동)","02-829-7729","신관 3층 내시경실","필립스","명지성모병원","126.8992536785","37.4938500790"
"Heart on A10","047","69","고유혁","02-2204-7600","서울특별시 성동구 왕십리로 89 성동구민종합체육쎈터 (성수동1가)","02-2204-7600","2층복도","메디아나","성동구민체육센터","127.0440279517","37.5458415313"
"Zoll AED Plus","056","98","박윤선","010-7747-9106","서울특별시 송파구 송파대로37길 45 가락초등학교 (가락동)","02-3402-1161","2층 체육관 앞","Zoll Medical Corp.","서울가락초등학교","127.1076025279","37.5000219623"
"HeartStart HS1","055","00","한수영","02-2240-8772","서울특별시 송파구 올림픽로 25 서울종합운동장 (잠실동)","2240-8701","실내체육관(농구장 내1문 출입구)","필립스","잠실종합운동장실내체육관","127.0759395726","37.5161996814"
"CU-SP1","036","28","김응삼","02-363-1334","서울특별시 서대문구 통일로 484 노인회지회 2층 (홍제동)","02-330-1271","2층 화장실 앞","씨유메디칼","(사)대한노인회서대문구지회","126.9429417627","37.5916067956"
"Heart keeper","052","24","김병옥","02-442-9265","서울특별시 강동구 고덕로 333 (고덕동 고덕그라시움아파트)","02-442-9265","3초소","(주)나눔테크","고덕그라시움아파트","127.1593233409","37.5561805813"
"AED Plus","085","74","김미순","01050042799","서울특별시 금천구 금하로25길 9 1층 (시흥동)","028025514","서울시 금천구 금하로25길 9 1층","졸메디컬","은행나무시장상인회","126.9093490779","37.4513182399"
"AED Plus","053","28","박연숙","02-3425-8703","서울특별시 강동구 올림픽로 658 오복빌딩 6층 (천호동)","02-3425-8703","노동권익센터 복도","ZOLL Medical","노동권익센터","127.1244093668","37.5399646493"
"AED Plus","053","53","조선래","02-3425-8706","서울특별시 강동구 천호대로175길 58 이동노동자지원센터 내부 3층 (길동)","02-3425-8706","이동노동자지원센터 내부","ZOLL Medical","이동노동자지원센터","127.1376783557","37.5372656668"
"HR-501","073","91","구민준","02-849-9322","서울특별시 영등포구 여의대방로35가길 19 (신길동 보라매 SK VIEW)","02-849-9322","각 경비초소 및 커뮤니티 내 복도","라디안큐바이오","보라매SK뷰아파트","126.9175043650","37.5037397100"
"Samaritan PAD AED","040","11","황선엽","02-335-3549","서울특별시 마포구 망원로8길 43 (망원동)","023353549","서민구판장 맞은 편","HeartSine","망원시장","126.9065033666","37.5555844090"
"AEDPLUS","031","40","고희철","010-4461-3827","서울특별시 종로구 삼일대로 428 낙원상가 4층 (낙원동)","02-745-4231","극장 4층 사무실 옆 5층 올라가는 우측 계단 벽","졸메디컬","(주)동아서울시네마","126.9879024765","37.5727635233"
"AEDPLUS","031","40","고희철","010-4461-3827","서울특별시 종로구 삼일대로 428 낙원상가 5층 (낙원동)","02-745-4231","극장 5층 들어가는 입구 벽면","졸메디컬","(주)동아서울시네마","126.9879024765","37.5727635233"
"I-PAD CU-SP1 Plus","080","07","이선","02-2650-9643","서울특별시 양천구 신목로2길 66 씨티프라자 3층 (목동)","02-2650-9643","양천세무서 별관 조사상담실 내부","㈜씨유메디칼시스템","양천세무서(별관)","126.8773343022","37.5234361733"
"AED Plus","088","32","최희윤","879-7203","서울특별시 관악구 관악로 145 관악구보건소 (봉천동)","02-879-7203","1층 로비","Zoll Medical","관악구보건소","126.9515012441","37.4782106746"
"AED Plus","018","91","김광자","010-3688-5458","서울특별시 노원구 광운로13길 9 (월계동)","02-917-3776","1층 경로당 내 현관문 맞은편 거울 밑","ZOLL Medical","월성경로당","127.0587699312","37.6212910442"
"ZOLL AED Plus","016","97","이종대","070-7700-8593","서울특별시 노원구 노원로30길 73 (상계동)","070-7700-8593","센터3층 복도","졸메디컬","노원50플러스센터","127.0707180167","37.6561192611"
"AED Plus","016","88","백재연","02-2092-0198","서울특별시 노원구 동일로 1449 도봉운전면허시험장 (상계동)","02-2092-0198","교육장 로비","졸메디컬","도로교통공단도봉운전면허시험장","127.0588512600","37.6574857205"
"AED Plus","017","84","김정문","010-5306-2295","서울특별시 노원구 한글비석로 57 세이브존 (하계동)","070-5137-9364","세이브존 직원 출입구","ZOLL Medical","세이브존","127.0689153444","37.6366235844"
"HEARTSTART HS1","060","86","노경민","010-4556-1343","서울특별시 강남구 봉은사로81길 16 서울정애학교 (삼성동)","02-540-7293","3층 복도 엘리베이터 앞","필립스","서울정애학교","127.0544002808","37.5143262154"
"ZOLL AED Plus","022","51","노은현","010-***-****","서울특별시 중랑구 용마산로 271 (면목동 면목금호어울림아파트)","02-437-8501","제1주차장 입구(노인정 앞) 좌측벽","ZOLL Medical Corporation","면목금호어울림아파트","127.0896497099","37.5773668906"
"HeartStart HS1","020","62","김현식","02-2036-0354","서울특별시 중랑구 양원역로 38 서울시북부병원 및 시립중랑노인전문요양원 (망우동)","02-2036-0354","원내로비(1층)","Philips","서울특별시북부노인병원총무팀","127.1076806626","37.6043947292"
"HeartStart HS1","020","62","김현식","02-2036-0354","서울특별시 중랑구 양원역로 38 서울시북부병원 및 시립중랑노인전문요양원 (망우동)","02-2036-0354","엠블런스(지하1층)","Philips","서울특별시북부노인병원총무팀","127.1076806626","37.6043947292"
"ZOLL AED PLUS","020","62","윤상희","02-432-0711","서울특별시 중랑구 송림길 172 양원 청소년 독서실 (망우동)","02-432-0711","1층 유아자료실 출입문 신발장 위","ZOLL Medical Corporation","양원숲속도서관","127.1106971521","37.6068612804"
"ZOLL AED Plus","022","39","이아영","010-4102-1086","서울특별시 중랑구 면목로 299 (면목동)","02-2208-1083","7층 중랑구 농아인쉼터  오른쪽 창측기둥","ZOLL Medical Corporation","중랑구수어통역센터","127.0866753423","37.5792394852"
"ZOLL AED PLUS","021","91","이미경","02-435-0842","서울특별시 중랑구 용마산로94길 98 용마경로복지센터 (면목동)","02-435-0842","센터1층 출입자동문 좌측 벽면","ZOLL","구립용마경로복지센터","127.1018199382","37.5873998509"
"i-PAD CU-SP1 Plus","055","10","구준모","02-790-8214","서울특별시 송파구 올림픽로35길 123 향군타워 (신천동)","02-790-8971","향군타워 9층 메인엘리베이터 앞","씨유메디칼시스템","(주)트랜스코스모스코리아잠실센터","127.1012259322","37.5165777895"
